,Hour,Hour_count
54103,20,6859
54104,21,9135
54105,22,8256
54106,20,6859
54107,22,8256
54108,20,6859
54109,20,6859
54110,18,3123
54111,0,2941
54112,20,6859
54113,1,2339
54114,20,6859
54115,7,690
54116,5,1272
54117,1,2339
54118,21,9135
54119,23,5744
54120,6,952
54121,1,2339
54122,22,8256
54123,3,1447
54124,0,2941
54125,14,956
54126,12,1016
54127,20,6859
54128,1,2339
54129,21,9135
54130,21,9135
54131,7,690
54132,19,4783
54133,19,4783
54134,3,1447
54135,15,1063
54136,18,3123
54137,5,1272
54138,2,1649
54139,21,9135
54140,2,1649
54141,23,5744
54142,19,4783
54143,19,4783
54144,21,9135
54145,21,9135
54146,3,1447
54147,23,5744
54148,21,9135
54149,22,8256
54150,18,3123
54151,0,2941
54152,0,2941
54153,20,6859
54154,20,6859
54155,21,9135
54156,23,5744
54157,22,8256
54158,23,5744
54159,21,9135
54160,6,952
54161,0,2941
54162,22,8256
54163,23,5744
54164,22,8256
54165,14,956
54166,14,956
54167,19,4783
54168,12,1016
54169,13,962
54170,19,4783
54171,20,6859
54172,20,6859
54173,3,1447
54174,6,952
54175,23,5744
54176,14,956
54177,15,1063
54178,23,5744
54179,21,9135
54180,14,956
54181,19,4783
54182,22,8256
54183,14,956
54184,0,2941
54185,0,2941
54186,20,6859
54187,21,9135
54188,5,1272
54189,7,690
54190,13,962
54191,22,8256
54192,20,6859
54193,23,5744
54194,1,2339
54195,17,1988
54196,21,9135
54197,2,1649
54198,23,5744
54199,16,1208
54200,20,6859
54201,23,5744
54202,0,2941
54203,22,8256
54204,20,6859
54205,4,1114
54206,22,8256
54207,10,902
54208,3,1447
54209,22,8256
54210,20,6859
54211,17,1988
54212,1,2339
54213,18,3123
54214,0,2941
54215,21,9135
54216,0,2941
54217,21,9135
54218,1,2339
54219,22,8256
54220,6,952
54221,18,3123
54222,19,4783
54223,3,1447
54224,21,9135
54225,19,4783
54226,19,4783
54227,16,1208
54228,20,6859
54229,13,962
54230,5,1272
54231,13,962
54232,18,3123
54233,0,2941
54234,20,6859
54235,18,3123
54236,8,617
54237,20,6859
54238,23,5744
54239,19,4783
54240,23,5744
54241,22,8256
54242,14,956
54243,0,2941
54244,0,2941
54245,19,4783
54246,23,5744
54247,19,4783
54248,1,2339
54249,0,2941
54250,20,6859
54251,23,5744
54252,11,850
54253,2,1649
54254,8,617
54255,19,4783
54256,0,2941
54257,19,4783
54258,23,5744
54259,7,690
54260,23,5744
54261,18,3123
54262,20,6859
54263,20,6859
54264,21,9135
54265,0,2941
54266,23,5744
54267,0,2941
54268,23,5744
54269,21,9135
54270,16,1208
54271,22,8256
54272,21,9135
54273,3,1447
54274,18,3123
54275,18,3123
54276,23,5744
54277,2,1649
54278,20,6859
54279,21,9135
54280,19,4783
54281,20,6859
54282,20,6859
54283,11,850
54284,23,5744
54285,12,1016
54286,1,2339
54287,21,9135
54288,21,9135
54289,19,4783
54290,22,8256
54291,17,1988
54292,22,8256
54293,16,1208
54294,21,9135
54295,4,1114
54296,11,850
54297,18,3123
54298,16,1208
54299,20,6859
54300,4,1114
54301,21,9135
54302,0,2941
54303,21,9135
54304,15,1063
54305,21,9135
54306,19,4783
54307,21,9135
54308,3,1447
54309,9,766
54310,21,9135
54311,16,1208
54312,22,8256
54313,19,4783
54314,22,8256
54315,21,9135
54316,8,617
54317,13,962
54318,15,1063
54319,10,902
54320,20,6859
54321,9,766
54322,22,8256
54323,23,5744
54324,16,1208
54325,22,8256
54326,23,5744
54327,21,9135
54328,11,850
54329,19,4783
54330,3,1447
54331,13,962
54332,2,1649
54333,11,850
54334,1,2339
54335,23,5744
54336,21,9135
54337,19,4783
54338,23,5744
54339,23,5744
54340,20,6859
54341,21,9135
54342,0,2941
54343,22,8256
54344,1,2339
54345,12,1016
54346,12,1016
54347,23,5744
54348,22,8256
54349,22,8256
54350,17,1988
54351,20,6859
54352,23,5744
54353,7,690
54354,5,1272
54355,21,9135
54356,22,8256
54357,20,6859
54358,5,1272
54359,19,4783
54360,21,9135
54361,21,9135
54362,20,6859
54363,22,8256
54364,22,8256
54365,22,8256
54366,22,8256
54367,20,6859
54368,21,9135
54369,16,1208
54370,21,9135
54371,19,4783
54372,3,1447
54373,20,6859
54374,20,6859
54375,22,8256
54376,20,6859
54377,22,8256
54378,0,2941
54379,19,4783
54380,22,8256
54381,20,6859
54382,1,2339
54383,14,956
54384,21,9135
54385,19,4783
54386,21,9135
54387,19,4783
54388,5,1272
54389,2,1649
54390,17,1988
54391,17,1988
54392,7,690
54393,21,9135
54394,4,1114
54395,20,6859
54396,21,9135
54397,21,9135
54398,5,1272
54399,22,8256
54400,22,8256
54401,16,1208
54402,1,2339
54403,7,690
54404,22,8256
54405,18,3123
54406,20,6859
54407,0,2941
54408,23,5744
54409,6,952
54410,18,3123
54411,19,4783
54412,14,956
54413,20,6859
54414,20,6859
54415,22,8256
54416,13,962
54417,22,8256
54418,19,4783
54419,20,6859
54420,1,2339
54421,4,1114
54422,21,9135
54423,22,8256
54424,19,4783
54425,6,952
54426,22,8256
54427,22,8256
54428,23,5744
54429,4,1114
54430,21,9135
54431,19,4783
54432,20,6859
54433,23,5744
54434,18,3123
54435,22,8256
54436,12,1016
54437,23,5744
54438,21,9135
54439,21,9135
54440,6,952
54441,14,956
54442,17,1988
54443,20,6859
54444,23,5744
54445,3,1447
54446,4,1114
54447,21,9135
54448,18,3123
54449,5,1272
54450,9,766
54451,22,8256
54452,16,1208
54453,19,4783
54454,15,1063
54455,21,9135
54456,20,6859
54457,21,9135
54458,20,6859
54459,21,9135
54460,21,9135
54461,5,1272
54462,22,8256
54463,22,8256
54464,22,8256
54465,6,952
54466,2,1649
54467,16,1208
54468,17,1988
54469,15,1063
54470,21,9135
54471,2,1649
54472,0,2941
54473,22,8256
54474,22,8256
54475,22,8256
54476,18,3123
54477,15,1063
54478,1,2339
54479,17,1988
54480,22,8256
54481,20,6859
54482,10,902
54483,4,1114
54484,16,1208
54485,19,4783
54486,21,9135
54487,9,766
54488,18,3123
54489,21,9135
54490,21,9135
54491,20,6859
54492,23,5744
54493,12,1016
54494,21,9135
54495,6,952
54496,21,9135
54497,21,9135
54498,20,6859
54499,16,1208
54500,22,8256
54501,21,9135
54502,4,1114
54503,22,8256
54504,20,6859
54505,12,1016
54506,13,962
54507,20,6859
54508,19,4783
54509,21,9135
54510,6,952
54511,19,4783
54512,19,4783
54513,22,8256
54514,3,1447
54515,0,2941
54516,22,8256
54517,16,1208
54518,18,3123
54519,20,6859
54520,19,4783
54521,23,5744
54522,22,8256
54523,20,6859
54524,19,4783
54525,13,962
54526,21,9135
54527,12,1016
54528,22,8256
54529,17,1988
54530,22,8256
54531,21,9135
54532,21,9135
54533,21,9135
54534,18,3123
54535,20,6859
54536,19,4783
54537,21,9135
54538,9,766
54539,1,2339
54540,19,4783
54541,21,9135
54542,19,4783
54543,21,9135
54544,0,2941
54545,8,617
54546,18,3123
54547,15,1063
54548,11,850
54549,19,4783
54550,19,4783
54551,23,5744
54552,16,1208
54553,18,3123
54554,3,1447
54555,19,4783
54556,6,952
54557,19,4783
54558,1,2339
54559,20,6859
54560,22,8256
54561,6,952
54562,0,2941
54563,17,1988
54564,23,5744
54565,19,4783
54566,5,1272
54567,21,9135
54568,8,617
54569,8,617
54570,20,6859
54571,22,8256
54572,0,2941
54573,20,6859
54574,6,952
54575,1,2339
54576,20,6859
54577,20,6859
54578,10,902
54579,18,3123
54580,22,8256
54581,12,1016
54582,2,1649
54583,22,8256
54584,1,2339
54585,17,1988
54586,20,6859
54587,1,2339
54588,5,1272
54589,23,5744
54590,17,1988
54591,21,9135
54592,1,2339
54593,18,3123
54594,13,962
54595,23,5744
54596,13,962
54597,10,902
54598,21,9135
54599,21,9135
54600,20,6859
54601,18,3123
54602,0,2941
54603,20,6859
54604,22,8256
54605,21,9135
54606,0,2941
54607,19,4783
54608,21,9135
54609,21,9135
54610,21,9135
54611,6,952
54612,20,6859
54613,5,1272
54614,20,6859
54615,20,6859
54616,5,1272
54617,22,8256
54618,18,3123
54619,0,2941
54620,14,956
54621,12,1016
54622,19,4783
54623,19,4783
54624,20,6859
54625,20,6859
54626,21,9135
54627,22,8256
54628,20,6859
54629,21,9135
54630,0,2941
54631,15,1063
54632,21,9135
54633,3,1447
54634,21,9135
54635,0,2941
54636,22,8256
54637,9,766
54638,14,956
54639,23,5744
54640,20,6859
54641,20,6859
54642,6,952
54643,17,1988
54644,22,8256
54645,3,1447
54646,6,952
54647,11,850
