,Shape,Shape_count
15527,triangle,6268
15528,triangle,6268
15529,triangle,6268
15530,unknown,4359
15531,unknown,4359
15532,unknown,4359
15533,unknown,4359
15534,changing,1517
15535,changing,1517
15536,changing,1517
15537,cigar,1569
15538,disk,3853
15539,fireball,4939
15540,flash,1025
15541,light,12895
15542,light,12895
15543,light,12895
15544,other,4209
15545,rectangle,1010
15546,sphere,4134
15547,sphere,4134
15548,triangle,6268
15549,triangle,6268
15550,triangle,6268
15551,fireball,4939
15552,sphere,4134
15553,changing,1517
15554,circle,5890
15555,egg,555
15556,light,12895
15557,light,12895
15558,oval,2881
15559,sphere,4134
15560,sphere,4134
15561,sphere,4134
15562,unknown,4359
15563,rectangle,1010
15564,fireball,4939
15565,light,12895
15566,changing,1517
15567,changing,1517
15568,circle,5890
15569,circle,5890
15570,circle,5890
15571,cross,177
15572,diamond,884
15573,diamond,884
15574,egg,555
15575,fireball,4939
15576,fireball,4939
15577,fireball,4939
15578,formation,1908
15579,light,12895
15580,light,12895
15581,light,12895
15582,light,12895
15583,light,12895
15584,light,12895
15585,light,12895
15586,light,12895
15587,other,4209
15588,oval,2881
15589,oval,2881
15590,oval,2881
15591,sphere,4134
15592,sphere,4134
15593,teardrop,560
15594,triangle,6268
15595,triangle,6268
15596,unknown,4359
15597,flash,1025
15598,oval,2881
15599,circle,5890
15600,formation,1908
15601,light,12895
15602,light,12895
15603,light,12895
15604,light,12895
15605,oval,2881
15606,chevron,774
15607,fireball,4939
15608,formation,1908
15609,light,12895
15610,other,4209
15611,triangle,6268
15612,triangle,6268
15613,triangle,6268
15614,changing,1517
15615,cigar,1569
15616,cigar,1569
15617,disk,3853
15618,disk,3853
15619,disk,3853
15620,fireball,4939
15621,fireball,4939
15622,fireball,4939
15623,formation,1908
15624,light,12895
15625,light,12895
15626,other,4209
15627,oval,2881
15628,rectangle,1010
15629,sphere,4134
15630,sphere,4134
15631,teardrop,560
15632,unknown,4359
15633,circle,5890
15634,other,4209
15635,circle,5890
