,Year,Year_count
14994,2009,3502
14995,2007,3338
14996,1997,856
14997,2011,4215
14998,2007,3338
14999,2011,4215
15000,2009,3502
15001,2011,4215
15002,2008,3867
15003,2007,3338
15004,1975,228
15005,2013,5862
15006,2013,5862
15007,2010,3423
15008,2001,2295
15009,2005,3046
15010,2012,6096
15011,2001,2295
15012,2014,1894
15013,2009,3502
15014,2012,6096
15015,2007,3338
15016,2011,4215
15017,2013,5862
15018,2011,4215
15019,2003,2782
15020,2008,3867
15021,2009,3502
15022,2011,4215
15023,2001,2295
15024,2011,4215
15025,2003,2782
15026,2011,4215
15027,2002,2298
15028,2011,4215
15029,2012,6096
